Shortage,Supply,Population,Infrastructure,Model
411840,High,High,IPR,gfdl-cm3.1.rcp26
386710,Low,High,IPR,gfdl-cm3.1.rcp27
237440,High,Low,IPR,gfdl-cm3.1.rcp28
237020,Low,Low,IPR,gfdl-cm3.1.rcp29
392130,High,High,IPR,gfdl-cm3.1.rcp45
414110,Low,High,IPR,gfdl-cm3.1.rcp46
240540,High,Low,IPR,gfdl-cm3.1.rcp47
221280,Low,Low,IPR,gfdl-cm3.1.rcp48
412990,High,High,IPR,gfdl-cm3.1.rcp60
416580,Low,High,IPR,gfdl-cm3.1.rcp61
260030,High,Low,IPR,gfdl-cm3.1.rcp62
237500,Low,Low,IPR,gfdl-cm3.1.rcp63
399860,High,High,IPR,gfdl-cm3.1.rcp85
422730,Low,High,IPR,gfdl-cm3.1.rcp86
246770,High,Low,IPR,gfdl-cm3.1.rcp87
248620,Low,Low,IPR,gfdl-cm3.1.rcp88
401800,High,High,IPR,gfdl-esm2m.1.rcp26
415610,Low,High,IPR,gfdl-esm2m.1.rcp27
244330,High,Low,IPR,gfdl-esm2m.1.rcp28
248110,Low,Low,IPR,gfdl-esm2m.1.rcp29
416820,High,High,IPR,gfdl-esm2m.1.rcp45
426600,Low,High,IPR,gfdl-esm2m.1.rcp46
236840,High,Low,IPR,gfdl-esm2m.1.rcp47
257640,Low,Low,IPR,gfdl-esm2m.1.rcp48
429300,High,High,IPR,gfdl-esm2m.1.rcp60
454260,Low,High,IPR,gfdl-esm2m.1.rcp61
255680,High,Low,IPR,gfdl-esm2m.1.rcp62
247820,Low,Low,IPR,gfdl-esm2m.1.rcp63
413570,High,High,IPR,gfdl-esm2m.1.rcp85
416560,Low,High,IPR,gfdl-esm2m.1.rcp86
252090,High,Low,IPR,gfdl-esm2m.1.rcp87
247310,Low,Low,IPR,gfdl-esm2m.1.rcp88
446510,High,High,IPR,hadgem2-es.1.rcp26
436350,Low,High,IPR,hadgem2-es.1.rcp27
234130,High,Low,IPR,hadgem2-es.1.rcp28
246420,Low,Low,IPR,hadgem2-es.1.rcp29
428360,High,High,IPR,hadgem2-es.1.rcp45
436320,Low,High,IPR,hadgem2-es.1.rcp46
244480,High,Low,IPR,hadgem2-es.1.rcp47
249300,Low,Low,IPR,hadgem2-es.1.rcp48
422440,High,High,IPR,hadgem2-es.1.rcp60
403680,Low,High,IPR,hadgem2-es.1.rcp61
242000,High,Low,IPR,hadgem2-es.1.rcp62
242750,Low,Low,IPR,hadgem2-es.1.rcp63
427320,High,High,IPR,hadgem2-es.1.rcp85
440650,Low,High,IPR,hadgem2-es.1.rcp86
248270,High,Low,IPR,hadgem2-es.1.rcp87
255150,Low,Low,IPR,hadgem2-es.1.rcp88
440910,High,High,IPR,miroc-esm-chem.1.rcp26
451110,Low,High,IPR,miroc-esm-chem.1.rcp27
270050,High,Low,IPR,miroc-esm-chem.1.rcp28
265170,Low,Low,IPR,miroc-esm-chem.1.rcp29
411190,High,High,IPR,miroc-esm-chem.1.rcp45
415510,Low,High,IPR,miroc-esm-chem.1.rcp46
231170,High,Low,IPR,miroc-esm-chem.1.rcp47
253060,Low,Low,IPR,miroc-esm-chem.1.rcp48
433990,High,High,IPR,miroc-esm-chem.1.rcp60
424390,Low,High,IPR,miroc-esm-chem.1.rcp61
249200,High,Low,IPR,miroc-esm-chem.1.rcp62
252210,Low,Low,IPR,miroc-esm-chem.1.rcp63
391920,High,High,IPR,miroc-esm-chem.1.rcp85
398940,Low,High,IPR,miroc-esm-chem.1.rcp86
231620,High,Low,IPR,miroc-esm-chem.1.rcp87
230350,Low,Low,IPR,miroc-esm-chem.1.rcp88
393150,High,High,IPR,miroc5.1.rcp26
403610,Low,High,IPR,miroc5.1.rcp27
242020,High,Low,IPR,miroc5.1.rcp28
241160,Low,Low,IPR,miroc5.1.rcp29
432550,High,High,IPR,miroc5.1.rcp45
435780,Low,High,IPR,miroc5.1.rcp46
242540,High,Low,IPR,miroc5.1.rcp47
234310,Low,Low,IPR,miroc5.1.rcp48
449710,High,High,IPR,miroc5.1.rcp60
433890,Low,High,IPR,miroc5.1.rcp61
232240,High,Low,IPR,miroc5.1.rcp62
225000,Low,Low,IPR,miroc5.1.rcp63
420550,High,High,IPR,miroc5.1.rcp85
426320,Low,High,IPR,miroc5.1.rcp86
230900,High,Low,IPR,miroc5.1.rcp87
245250,Low,Low,IPR,miroc5.1.rcp88
424240,High,High,RO,csiro-mk3-6-0.1.rcp26
401410,Low,High,RO,csiro-mk3-6-0.1.rcp27
265110,High,Low,RO,csiro-mk3-6-0.1.rcp28
265140,Low,Low,RO,csiro-mk3-6-0.1.rcp29
388000,High,High,RO,csiro-mk3-6-0.1.rcp45
398250,Low,High,RO,csiro-mk3-6-0.1.rcp46
255340,High,Low,RO,csiro-mk3-6-0.1.rcp47
259170,Low,Low,RO,csiro-mk3-6-0.1.rcp48
404020,High,High,RO,csiro-mk3-6-0.1.rcp60
429110,Low,High,RO,csiro-mk3-6-0.1.rcp61
267780,High,Low,RO,csiro-mk3-6-0.1.rcp62
267850,Low,Low,RO,csiro-mk3-6-0.1.rcp63
391110,High,High,RO,csiro-mk3-6-0.1.rcp85
432690,Low,High,RO,csiro-mk3-6-0.1.rcp86
263740,High,Low,RO,csiro-mk3-6-0.1.rcp87
262810,Low,Low,RO,csiro-mk3-6-0.1.rcp88
437950,High,High,RO,gfdl-cm3.1.rcp26
451480,Low,High,RO,gfdl-cm3.1.rcp27
257770,High,Low,RO,gfdl-cm3.1.rcp28
255290,Low,Low,RO,gfdl-cm3.1.rcp29
418550,High,High,RO,gfdl-cm3.1.rcp45
459330,Low,High,RO,gfdl-cm3.1.rcp46
249880,High,Low,RO,gfdl-cm3.1.rcp47
248890,Low,Low,RO,gfdl-cm3.1.rcp48
442430,High,High,RO,gfdl-cm3.1.rcp60
481540,Low,High,RO,gfdl-cm3.1.rcp61
266220,High,Low,RO,gfdl-cm3.1.rcp62
266330,Low,Low,RO,gfdl-cm3.1.rcp63
413860,High,High,RO,gfdl-cm3.1.rcp85
442160,Low,High,RO,gfdl-cm3.1.rcp86
244220,High,Low,RO,gfdl-cm3.1.rcp87
256250,Low,Low,RO,gfdl-cm3.1.rcp88
468690,High,High,RO,gfdl-esm2m.1.rcp26
398500,Low,High,RO,gfdl-esm2m.1.rcp27
267100,High,Low,RO,gfdl-esm2m.1.rcp28
261830,Low,Low,RO,gfdl-esm2m.1.rcp29
387580,High,High,RO,gfdl-esm2m.1.rcp45
407260,Low,High,RO,gfdl-esm2m.1.rcp46
247090,High,Low,RO,gfdl-esm2m.1.rcp47
243040,Low,Low,RO,gfdl-esm2m.1.rcp48
391120,High,High,RO,gfdl-esm2m.1.rcp60
418000,Low,High,RO,gfdl-esm2m.1.rcp61
253070,High,Low,RO,gfdl-esm2m.1.rcp62
251900,Low,Low,RO,gfdl-esm2m.1.rcp63
412980,High,High,RO,gfdl-esm2m.1.rcp85
435400,Low,High,RO,gfdl-esm2m.1.rcp86
245320,High,Low,RO,gfdl-esm2m.1.rcp87
245600,Low,Low,RO,gfdl-esm2m.1.rcp88
385430,High,High,RO,hadgem2-es.1.rcp26
411410,Low,High,RO,hadgem2-es.1.rcp27
255980,High,Low,RO,hadgem2-es.1.rcp28
260870,Low,Low,RO,hadgem2-es.1.rcp29
422740,High,High,RO,hadgem2-es.1.rcp45
449860,Low,High,RO,hadgem2-es.1.rcp46
246790,High,Low,RO,hadgem2-es.1.rcp47
262690,Low,Low,RO,hadgem2-es.1.rcp48
407060,High,High,RO,hadgem2-es.1.rcp60
426670,Low,High,RO,hadgem2-es.1.rcp61
250930,High,Low,RO,hadgem2-es.1.rcp62
251160,Low,Low,RO,hadgem2-es.1.rcp63
410750,High,High,RO,hadgem2-es.1.rcp85
449120,Low,High,RO,hadgem2-es.1.rcp86
252350,High,Low,RO,hadgem2-es.1.rcp87
242230,Low,Low,RO,hadgem2-es.1.rcp88
436100,High,High,RO,miroc-esm-chem.1.rcp26
435810,Low,High,RO,miroc-esm-chem.1.rcp27
265320,High,Low,RO,miroc-esm-chem.1.rcp28
270960,Low,Low,RO,miroc-esm-chem.1.rcp29
396750,High,High,RO,miroc-esm-chem.1.rcp45
425210,Low,High,RO,miroc-esm-chem.1.rcp46
256420,High,Low,RO,miroc-esm-chem.1.rcp47
258780,Low,Low,RO,miroc-esm-chem.1.rcp48
379160,High,High,RO,miroc-esm-chem.1.rcp60
402240,Low,High,RO,miroc-esm-chem.1.rcp61
255210,High,Low,RO,miroc-esm-chem.1.rcp62
252920,Low,Low,RO,miroc-esm-chem.1.rcp63
380430,High,High,RO,miroc-esm-chem.1.rcp85
394460,Low,High,RO,miroc-esm-chem.1.rcp86
261290,High,Low,RO,miroc-esm-chem.1.rcp87
261300,Low,Low,RO,miroc-esm-chem.1.rcp88
415040,High,High,RO,miroc5.1.rcp26
407090,Low,High,RO,miroc5.1.rcp27
260660,High,Low,RO,miroc5.1.rcp28
253640,Low,Low,RO,miroc5.1.rcp29
368400,High,High,RO,miroc5.1.rcp45
373240,Low,High,RO,miroc5.1.rcp46
261440,High,Low,RO,miroc5.1.rcp47
261570,Low,Low,RO,miroc5.1.rcp48
387840,High,High,RO,miroc5.1.rcp60
396010,Low,High,RO,miroc5.1.rcp61
250480,High,Low,RO,miroc5.1.rcp62
255150,Low,Low,RO,miroc5.1.rcp63
379980,High,High,RO,miroc5.1.rcp85
403000,Low,High,RO,miroc5.1.rcp86
247350,High,Low,RO,miroc5.1.rcp87
252560,Low,Low,RO,miroc5.1.rcp88
