Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
448990,,0.03269,0.03898,0.031105,Low,High,WWTP,gfdl.cm3.1.rcp26
258870,,0,0.0021463,0.00052771,High,Low,WWTP,gfdl.cm3.1.rcp26
318570,,0,0.0022623,0.00065832,Low,Low,WWTP,gfdl.cm3.1.rcp26
421120,,0.016673,0.010585,0.016447,High,High,WWTP,gfdl.esm2m.1.rcp85
447330,,0.028176,0.022197,0.025992,Low,High,WWTP,gfdl.esm2m.1.rcp85
263500,,0,0.0021058,0.00048568,High,Low,WWTP,gfdl.esm2m.1.rcp85
314060,,0,0.002216,0.00060433,Low,Low,WWTP,gfdl.esm2m.1.rcp85
395880,,0.014793,0.0097515,0.015262,High,High,WWTP,gfdl.esm2m.1.rcp26
437740,,0.025863,0.018186,0.023707,Low,High,WWTP,gfdl.esm2m.1.rcp26
241570,,0,0.0020876,0.00046744,High,Low,WWTP,gfdl.esm2m.1.rcp26
313950,,0,0.0021974,0.00058338,Low,Low,WWTP,gfdl.esm2m.1.rcp26
409500,,0.014466,0.0096197,0.015065,High,High,WWTP,gfdl.esm2m.1.rcp45
443110,,0.025896,0.018234,0.023738,Low,High,WWTP,gfdl.esm2m.1.rcp45
309730,,0,0.0020657,0.00044591,High,Low,WWTP,gfdl.esm2m.1.rcp45
296250,,0,0.0021866,0.00057138,Low,Low,WWTP,gfdl.esm2m.1.rcp45
430010,,0.0099687,0.008112,0.012597,High,High,WWTP,gfdl.esm2m.1.rcp60
458970,,0.02081,0.013039,0.01939,Low,High,WWTP,gfdl.esm2m.1.rcp60
245460,,0,0.0020162,0.00039949,High,Low,WWTP,gfdl.esm2m.1.rcp60
245680,,0,0.0021298,0.00051037,Low,Low,WWTP,gfdl.esm2m.1.rcp60
419920,,0.014279,0.009546,0.014953,High,High,WWTP,csiro.mk3.6.0.1.rcp85
422730,,0.025938,0.018293,0.023778,Low,High,WWTP,csiro.mk3.6.0.1.rcp85
260450,,0,0.0020626,0.00044291,High,Low,WWTP,csiro.mk3.6.0.1.rcp85
268920,,0,0.0021831,0.00056748,Low,Low,WWTP,csiro.mk3.6.0.1.rcp85
394480,,0.01106,0.0084329,0.013156,High,High,WWTP,csiro.mk3.6.0.1.rcp26
