Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
169600,,0,0.0024836,0.00077454,Low,Low,WWTP,csiro.mk3.6.0.1.rcp45
264450,,0.0076278,0.0063954,0.0093414,High,High,WWTP,csiro.mk3.6.0.1.rcp60
273680,,0.019128,0.010361,0.017108,Low,High,WWTP,csiro.mk3.6.0.1.rcp60
145850,,0,0.0021967,0.0004551,High,Low,WWTP,csiro.mk3.6.0.1.rcp60
145830,,0,0.0023667,0.00063343,Low,Low,WWTP,csiro.mk3.6.0.1.rcp60
302700,,0.016664,0.0091463,0.015028,High,High,WWTP,hadgem2.es.1.rcp85
293440,,0.028205,0.020295,0.027582,Low,High,WWTP,hadgem2.es.1.rcp85
156900,,0,0.0023158,0.00057664,High,Low,WWTP,hadgem2.es.1.rcp85
166580,,0,0.0025044,0.00080109,Low,Low,WWTP,hadgem2.es.1.rcp85
295940,,0.016473,0.0090638,0.014878,High,High,WWTP,hadgem2.es.1.rcp60
304360,,0.027998,0.01986,0.027283,Low,High,WWTP,hadgem2.es.1.rcp60
142610,,0,0.0023412,0.00060466,High,Low,WWTP,hadgem2.es.1.rcp60
146550,,0,0.0025315,0.00083657,Low,Low,WWTP,hadgem2.es.1.rcp60
279070,,0.014551,0.0083104,0.013447,High,High,WWTP,hadgem2.es.1.rcp45
279070,,0.026073,0.016564,0.024655,Low,High,WWTP,hadgem2.es.1.rcp45
144480,,0,0.002302,0.00056175,High,Low,WWTP,hadgem2.es.1.rcp45
199750,,0,0.0024611,0.00074628,Low,Low,WWTP,hadgem2.es.1.rcp45
295150,,0.013997,0.008116,0.013061,High,High,WWTP,hadgem2.es.1.rcp26
279580,,0.025474,0.015752,0.023891,Low,High,WWTP,hadgem2.es.1.rcp26
148810,,0,0.0022861,0.00054493,High,Low,WWTP,hadgem2.es.1.rcp26
161530,,0,0.0024687,0.00075577,Low,Low,WWTP,hadgem2.es.1.rcp26
313610,,0.023103,0.013188,0.021088,High,High,WWTP,miroc.esm.chem.1.rcp85
314200,,0.034645,0.063461,0.038707,Low,High,WWTP,miroc.esm.chem.1.rcp85
215030,,0,0.0024304,0.00070853,High,Low,WWTP,miroc.esm.chem.1.rcp85
218210,,0,0.0026414,0.00098778,Low,Low,WWTP,miroc.esm.chem.1.rcp85
306990,,0.019981,0.010861,0.017894,High,High,WWTP,miroc.esm.chem.1.rcp60
306990,,0.031489,0.031074,0.032785,Low,High,WWTP,miroc.esm.chem.1.rcp60
148700,,0,0.0024121,0.00068646,High,Low,WWTP,miroc.esm.chem.1.rcp60
205180,,0,0.0025908,0.00091655,Low,Low,WWTP,miroc.esm.chem.1.rcp60
300600,,0.016404,0.0090344,0.014824,High,High,WWTP,miroc.esm.chem.1.rcp45
298590,,0.027923,0.019708,0.027176,Low,High,WWTP,miroc.esm.chem.1.rcp45
206710,,0,0.0023056,0.00056565,High,Low,WWTP,miroc.esm.chem.1.rcp45
206400,,0,0.0024951,0.00078917,Low,Low,WWTP,miroc.esm.chem.1.rcp45
213860,,0.013687,0.008011,0.012849,High,High,WWTP,miroc.esm.chem.1.rcp26
220950,,0.025145,0.015337,0.02348,Low,High,WWTP,miroc.esm.chem.1.rcp26
198570,,0,0.0022332,0.00049069,High,Low,WWTP,miroc.esm.chem.1.rcp26
198570,,0,0.0024096,0.0006835,Low,Low,WWTP,miroc.esm.chem.1.rcp26
